Zieliet, Lord of the Skies
Voidaintret, The Grumpy
Rayzzaeddun, The Dark One
Zozzaeg, The Powerful
Frelbaith, The Grumpy
Geigossnayrth, Champion of the Yellow
Daervyrrphait, The Evil One
Gaergelnteinth, The Young One
Caigarrsden, Champion of the Brown
Qaevaes, The Life Giver
Fretyssris, Champion of the Blue
Taikusspheoss, The Voiceless One
Tirriat, The Dead
Niemmer, Longtail
Caimoal, The Scary One
Chumbontsdyg, Champion of the Brown
Coipoilth, The Barbarian
Zairgyn, Lord of the Blue
Tiordiosdphunth, The Careful
Shievnairphioss, The Deathlord
Seodynth, Champion of the Black
Rommernterth, The Adorable
iannoth, The Powerful
Chiatessntayr, The Firestarter
Biarmiedlel, Champion of the Red
Modheolth, The Gifted
Maevyntlios, The Firestarter
Frothaith, The Dragonlord
Bayndelth, The Life Giver
Ceiddrudphayg, The Warrior
Geommeg, Warmheart
Pailraiss, The Creep
Dugiodphid, Redeemer of Men
Vieghaicrniath, The Dark
Riereosslain, Destroyer of Men
Pesoar, The Firestarter
Hadorrphulth, The Rabbit Slayer
Cukontnien, The Slow
Gadentssierth, The Grumpy
eirsaerrnass, Lord of the Blue
Dormyt, The Eternal
Jiophays, The Fast One
Nyzorrssais, The Mammoth
Getiess, The Young One
Baenolneol, The Firestarter
Sidiath, The Barbarian
Dadheintntayn, Bringer of Death
Cathylriess, Protector of the Sky
Coaghied, Champion of the Yellow
Menurrsdet, The Magnificent
Biothessrreoth, The Insane
Zeorvionrylth, The Tiran
Bussayldioth, The Clumsy One
Viaghierrlios, The Gifted One
Vimielnia, The Champion
Tyndriarrrul, Lord of the Green
Doathayt, The Young One
Tayghienntirth, The Protective
Herreophrryg, The Tender
Taesarrcroath, Braveheart
Frothiot, Champion of the Green
Groadirntierth, The Evil One
Brovraess, The Eternal One
Nyzzadphoas, Eater of Sheep
Freindiass, Champion of the Blue
Riervug, Protector of the Weak
Fraersoarcroath, The Taker of Life
Noiviss, Eater of All
Toarvyth, The Mammoth
Shembidphianth, The Bright
upophphaylth, The Clean
Poimanrayg, The Champion
Mievreoss, The Fast One
Taygoi, The Taker of Life
Narlio, Redeemer of Men
Friemmyssntienth, The White One
Biorvainrrianth, Champion of the Yellow
Meimran, The White
Cilriet, The Nocturnal
Brekeontras, The Taker of Life
Hayndraentphath, Lord of the Brown
Giandrissneth, The Gentle
Jeilbylth, The Voiceless
Diamrialcrurth, Champion of the Yellow
Zaideisslie, Gentleheart
Nulloaphrae, Champion of the White
Hoaghyg, The Voiceless
Noikonleot, The Hungry
ayvrorrphier, The Squeeler
Friokos, The Chosen
Gredai, The Tiran
Kieddreinth, Redeemer of Men
Friameoth, Lord of the Skies
iossophdan, Braveheart
Grirriorth, The Youngling
Maimriaphrryn, The Gentle
Shaermoaphlainth, The Mysterious One
Tiandel, The White One
Daenoirrntanth, The Creep
Friagyth, Protector of the Sky
Xienaessran, The Youngling
Pydodrriet, The Clever
Caesei, Protector of Creatures
Qemad, Champion of the Yellow
Gailior, The Insane
Grinness, The Calm
Dorodlun, The Eternal One
Tydeophniad, The Creep
Cheombies, The Mysterious One
Qiethesdrur, The Mysterious
Heommiorrsso, Champion of Dragons
Vunnocrray, The Loud
Gaeghaelssyrth, The Protective
Friphurth, Destroyer of Men
Tarroass, The Fierce
Zeolzryrth, The White
Zaivaynntair, Champion of the Blue
Muvynlairth, The Deathlord
Frormessnayth, Eater of Bunnies
undriantlyrth, Champion of the White
Chorvirth, Firebreath
Haethoirrryth, The Tall
Qimmas, The Clumsy One
Gaimmeig, The Strong Minded
Mioseolsset, The Hungry
Neolzriess, Champion of the Yellow
Laygyd, Redeemer of Men
Boirraissssia, Icebreath
Liorrainntig, The Dead
Soadridneir, The Evil One
Ritoarth, The Chosen
Chiddrit, Protector of the Forest
Tiolruss, Eater of Sheep
Shaerlosscriad, The Evil One
Chialrorrrrien, The Warrior
Xaimbielth, The Careful
Xieddrienth, The Swift
Doityrth, The Mysterious One
Sosig, The Magnificent
Sindreodlath, The Clever
Viallil, The Taker of Life
Butoarrrriot, Eater of Bunnies
Beilrienliem, The Victorious
Xieducrlas, The Slow
Ciasath, Eater of Sheep
Qaighirth, Champion of the Yellow
Pandrut, Braveheart
Deirridnointh, The Warm
Pemroanrran, The Voiceless
Hervait, The Bright
Boarloir, The Voiceless
Qaygeiddeom, Lord of Fire
Raezzait, Protector of the Forest
Ceophien, The Black
Caeneiddun, Champion of the Black
Xaiseossrioss, The Voiceless One
Rylbussdailth, Champion of the Brown
Zaiddreissnos, The Deathlord
Coaldryrth, Protector of Life
Fraisyrth, Champion of the Black
Toimrierntod, The Hungry
Rygeodrainth, The Fierce
Sheiphoirth, Champion of the Black
Dygoil, The Warm
Fraeghyntssios, The Jealous One
Byziorrliot, The Life Giver
Biasen, Champion of Men
Vuli, The Life Giver
Frirriet, Braveheart
Coidierrphein, Warmheart
Freitei, Warmheart
Chemmid, The Nocturnal
Dermioss, The Life Giver
Shiervon, The Gentle
Qeozairrdas, Eternal Fire
Ziarvot, Warmheart
Boarliphnay, Protector of the Weak
Rakurth, Lord of Fire
Chazzontdie, Destroyer of Life
Paezyntphir, Giver of Life
Fressinlil, The Hungry
Vayndrentrroan, The Tall
Hegunth, Giver of Life
Rynaig, Champion of the Brown
Xorlantleil, Protector of Creatures
Shymmayss, The Skinny One
Roldray, Champion of the White
agairth, The Swift
Vuzodrreig, The Creep
Hoakay, The Chosen
Chayrin, The Mysterious
Biatien, The Creep
Xeomoad, The Great
Qorayldo, Eater of Sheep
Chiapheiss, The Brave
ayrmiornoin, Gentle Mind
Kothet, The Taker of Life
eiphurrral, The Strong Minded
Vaereorrntunth, The Loud
Tienoacrdaiss, The Jealous One
Gayzephphes, Eternal Fire
Dollenroim, The Loud
Heorlam, The Nocturnal
Ginnat, Lord of the Skies
Vayphays, The Barbarian
Bothig, The Hungry
Gairgessphoass, The Brave
Froiset, The Fast One
Joarmeil, The Young One
Nizzyd, The Mysterious One
Jeirvyrrdelth, The Victorious
Niorvointleir, The Dark
Fraivrunrim, Champion of the Red
Pisiarrig, The Protective
Qeimbarrrreis, The Deathlord
Mikug, The Fierce
Sendriarth, Lord of the Black
Dyrrerrphainth, Lord of the Black
Tavreissrreolth, Champion of Dragons
ayvnyd, The Insane
Rarliss, Champion of the Red
Fryghierth, The Great
Xaerselth, The Voiceless
iolrat, The Young One
uzzay, The Scary
Naeghaes, Eater of Sheep
Tizar, The Gifted One
Taisoir, The Brave
Qieteirrsdys, The Grumpy
Keissaedrilth, The Protective
Cerog, The Grumpy
Shukadssair, The Strong
Vaynayr, Lord of Fire
Chiennontntiot, Champion of the White
Daymrael, Champion of the Blue
Bieteorroarth, The Fierce
Muzzeirrssy, The Strong Minded
Pothay, Protector of Creatures
Reogeot, The Protective
Coapondeinth, Champion of Dragons
Coidaer, The Eternal
Bivodcre, Icebreath
Choasaisdnus, Protector of the Weak
Frukiodssia, The Fast One
Qymmeocrroat, Champion of the White
Voazaessrur, The Victorious
Saevrus, The Clever
Gaendios, Protector of the Sky
Kevrinloass, The Puny
Feomroin, The Squeeler
Griavriacrrierth, The Scary One
yma, Protector of the Weak
Chiamrudrith, Braveheart
Sutheontrayt, Protector of the Forest
Viedentnainth, The Voiceless One
Haymmeirnyth, The Eternal One
Frurlyss, The Strong
oinaith, The Life Giver
Toldryncraen, Eater of All
Braighaintssaenth, The Protective
Biaghielntiom, The Mysterious
Qannan, Lord of Ice
Zyldrenraynth, The Rabbit Slayer
Caissaiphryr, The Warrior
Raydoilrairth, The Barbarian
Tayghieg, The Tall
Sigaincrei, The Scary
aykenth, Bringer of Death
Jedirrdyrth, Lord of the White
Qelbys, The Nocturnal
Neirsyt, Lord of Ice
elbeolth, Lord of the Black
Roidad, The Powerful One
Piozzicrneoss, The Fierce
Bryllaendierth, Gentleheart
Xordiphnoith, The Young One
Tiovneorrlayss, The Dark One
Taynderdir, Champion of the White
Zommialcri, The Voiceless
Xeorvag, Lord of the Red
Vymroad, Lord of the Red
Shaizzennass, Protector of Life
Celdre, The Bunny Killer
Meindi, The Tender
Kadeidnteg, Lord of the Black
Chaydhiarth, The Warrior
Podoanntiss, Protector of Life
Roavneirlayth, The Gentle
Zayphois, Champion of the White
Roindialssie, The Rabbit Slayer
Kugayt, The Fast One
Breilzrentreirth, Champion of the Brown
Daymrag, The Strong
Ceonnydsdanth, The Gifted One
Rairvoar, Lord of Ice
Foaziorrnir, Eater of All
osuntrraynth, Champion of Men
Qorlat, The Clever
Sheirgorrnturth, Lord of the Brown
Neovniarrnyn, The Careful
Paimyt, Destroyer of Life
Teput, The Evil One
Veitio, The Scary
Naimossneo, The Squeeler
Ziorgeirth, Gentle Mind
Pielrays, The Magnificent
Caisussrrayt, Eternal Fire
Kitheom, The Dark
Tymmeig, The Scary One
Nuldroas, Lord of the Red
Tiazzess, The Squeeler
Qannantsdeiss, The Stubborn
Coitaysssdet, Gentle Mind
Zeithacrcrais, The Dead
Korvoit, The Black
Frianeinssayd, Champion of the Skies
Xeolzras, The Puny
Jylzraed, Champion of Dragons
Tumbontdios, Firebreath
Fysseondael, Lord of the Yellow
Cheommaisddot, The Mammoth
Mayzeot, The Powerful
Caphentrrayn, The Loud
Pagulrass, Eater of Bunnies
Liezzeig, The Fast One
Gairsoadntoi, Lord of the Green
Ressoiphdos, Champion of the Yellow
Qynur, The Squeeler
Goaphayntntylth, Destroyer of Life
Zapintnig, The Mysterious
Rianaer, Protector of the Sky
Xeldrelth, Champion of Dragons
Froadydrrad, Icebreath
alzrirth, The Strong Minded
Rayzzenth, The Insane
Surleicrnainth, The Clever
Qarveophrrais, The Mysterious
Brirro, The Strong Minded
Chaydhus, Protector of Life
Tiegheorrnein, The Warm
Nylbairth, The Tall
Choarseog, Champion of the Green
Noadriantrross, Lord of the Skies
Qurmon, The Firestarter
Maldreiphnier, The Redeemer
Tiarleintreor, The Grumpy
Cervenpha, The Voiceless One
Qerdydntayn, The Strong Minded
Chyrmeonrraim, Eater of All
Choargon, The Mysterious
Giolbeorth, Lord of the Blue
Giakoig, Braveheart
ammoiss, Destroyer of Life
Tiendraintrrianth, Champion of the White
Qiolroag, The Clean
Cazziess, The Youngling
Leissairth, The Victorious
Meosien, The Powerful One
Chogi, Lord of the Yellow
Niedaet, The Stubborn
Zarilntus, The Insane
athieth, The Powerful
Geizzaessdaith, The Clean
Vayvnioss, The Eternal One
Kersied, The Mysterious
Frykentlayl, The Quiet
Mellairth, The Tender
Braembeophdaynth, The Scary
Frugho, Champion of the Blue
Tivrielsseid, Gentle Mind
Deondreinth, Protector of the Forest
Diombeodphe, The Mysterious One
Poavriat, Lord of the Brown
Bryzzoas, The Clean
Keondoanrrianth, Champion of the Blue
yldrin, Warmheart
eokirrnirth, The Puny
Xazzodren, Champion of the White
Biozaentrrid, The Clean
Gailzros, The Mammoth
Tageos, Lord of the Brown
Boageiphnays, The Deathlord
Reiphaer, Longtail
Griassiol, The White
Briareon, The Black
Ziemionnteirth, The Deathlord
Hothaintssayt, Protector of the Forest
Dammays, The Gifted One
Ryllayn, The Adorable
Cheorroisddeot, The Barbarian
Siethierrrut, Lord of the Brown
Veondrionsdaenth, The Calm
Jiarmeiphsdoss, Protector of the Sky
Fepyth, The Mysterious
Froallycrssei, Lord of the Yellow
Bierreoss, The Evil One
Seosoth, The Clean
Mimmiedssier, The Mammoth
Diovroiphntaiss, Gentle Mind
Piotus, Protector of the Weak
Xeozus, The Tall
Lurvayss, Icebreath
Hathyg, Lord of the Yellow
Ceiddriontphayd, The Dragonlord
Vundroas, Gentleheart
Zymreidrroid, Bringer of Death
Hoikeinntarth, Protector of the Forest
Bamonrrirth, The Skinny One
Sheolbeor, The Insane
Qyddryl, Icebreath
iavan, The Mammoth
Rennonth, Protector of the Weak
Covrieg, The Rabbit Slayer
Qeildrog, Warmheart
Friapherth, The Dark One
Chayrsandayss, Champion of the Green
Veirdoilth, The Champion
Tukeophroith, The Great
Raimray, The Fast One
Neollainrreor, Protector of the Weak
Chaemoig, Protector of the Forest
Maynaephdeiss, The Fast One
Chayketh, The Eternal One
Poimbeon, Champion of Men
Toarionphoir, Giver of Life
Peindorrreit, The Tall
Teopucrnie, The Scary
Toirmug, Protector of the Forest
Chioddrysdrulth, The Squeeler
Camrior, The Warm
Mailud, The Jealous One
Riozolth, The Nocturnal
Frayrenth, The Fast One
Shadhurrcried, Warmheart
Moidred, The Warrior
Bairmun, Icebreath
Zyrirrnaith, The Mysterious One
Bivnoar, Giver of Life
Freirraiss, The Brave
Ceomis, The Clever
Beithoirnis, The Powerful
Poazzeonth, The Chosen
ietaylnirth, Champion of the Black
Doithoarrntod, Destroyer of Life
Gonnonrrig, The Victorious
Gaipiedrronth, The Bright
Fikeidphiad, The Bunny Killer
Peovierlo, The Scary
Zaiphilth, The Young One
Sevednoith, Warmheart
Daythenrrierth, The Insane
Niavniorpheinth, Protector of Creatures
Diedreophnoiss, Champion of the Brown
Friazzayntday, The Loud
Gorguntssurth, Protector of the Sky
Beindorrphiog, The Scary One
Javayrrrainth, The Warm
Choindriephneot, The Gentle
Qummieth, The Dark One
Froathoag, The Protective
Qaynaiphssarth, The Kind
Gaendrath, The Fierce
Dairrelcrayl, Champion of Men
Peozzeirloass, The Brave
Choissoarlen, Champion of the Brown
Peirvin, The Mammoth
Jughayntdis, The Kind
Zoidiessrrayrth, Champion of the White
Gairvurrlae, Bringer of Death
Qialloalnia, Lord of the Brown
Palynda, The Swift
Riadhiorrssuss, The Loud
Siadien, Lord of the Skies
Xerrayt, Champion of the Skies
Zaydrerssaess, The Gifted One
Shayveo, Lord of Fire
Dodeonth, Champion of Men
aymayphsdais, The Brave
Hiataidrrir, The Squeeler
Kaymoinleog, Champion of the White
Xogheidnteos, Icebreath
Zoarmiasdsseig, Destroyer of Men
Frosel, The Clean
Cevoi, The Taker of Life
Sietheonth, The Voiceless One
Ziallayntnteiss, Champion of the Green
Diarrodsseg, The Mysterious
Rydreophdeol, The Swift
Vummurnoit, The Gifted One
Dezzeinsded, Champion of the Yellow
Fragaiss, Eater of Bunnies
Zaeriar, The Victorious
Niamboansseir, The Mysterious
Teonilth, The Swift
Ceozonth, The Powerful One
Gairvaenth, The Calm
Mirvoanth, The Quiet
Doareirrneol, The Dark
Toarlir, The Puny
Freimreis, Champion of Men
Xiophais, Braveheart
Leirgoass, The Kind
Qeirioth, Eater of All
Bylreorrnios, The Creep
Haynarliess, The Scary
Miatairth, Destroyer of Life
Xeirvei, The Redeemer
Meldreolssess, The Mysterious One
Miethecrdoalth, The Eternal One
Maiphaidlios, The Gifted
Seondriaphla, The Stubborn
Poghyrdairth, The Gentle
Xomeig, Champion of Dragons
Segaen, Longtail
Freokeirth, The Magnificent
Ganaelth, The Scary
Deighandays, Destroyer of Life
Hoamrerrrroa, The Eternal
Broakernieth, The Voiceless One
Braersylth, Protector of the Sky
Veormulnunth, Lord of the Skies
Daiteiphrrog, The Deathlord
Saimmyss, The Tender
Raemriantntoarth, The Taker of Life
Gelzruth, Destroyer of Life
Gaedrin, The Slow
Firlanth, The Bunny Killer
Xoildrocrntoin, The White One
Laivayrth, The Redeemer
Qiergoan, The Strong
Byzainth, The Bright
Roiveos, Eternal Fire
Gameth, The Squeeler
Hoamiot, The Rabbit Slayer
Roirvioss, The Grumpy
Zaysais, The Gifted One
Qurrein, The Dragonlord
Cairsyrrphoarth, The Fierce
Jailuth, The Squeeler
Derviam, The Black
Raimig, The Fast One
Doagheossnylth, The Bunny Killer
Freigy, Eternal Fire
Nodhisspheor, The Powerful One
Niargaes, The White One
Briendosdnoit, Protector of the Sky
Chavriel, Lord of the White
Gusu, The Voiceless One
Zozzaylth, The Strong Minded
Matyntphum, The Dragonlord
Nayteil, The Eternal
Hairliersdiel, The Adorable
Cheithyrdayd, Lord of the Black
Groidacrrrus, The Skinny One
Qaykurrlien, The Grumpy
Mierrith, Champion of the Skies
Voarsalntionth, The Mysterious
Riossudnaid, Protector of the Weak
Sugayss, Champion of the Blue
Peotiot, The Bunny Killer
Toalbuth, The Creep
Qoduss, Champion of the Green
iphinntas, Lord of the Yellow
Neomrurrdil, The Clean
Qydointrrointh, The Gifted
Caymmair, The Tender
Joighoath, The Fast One
Xiormem, The Eternal One
Ciorset, The Jealous One
Miakoalth, The Creep
Zierraerth, The Rabbit Slayer
Meirsenth, The Rabbit Slayer
Riendriar, The Voiceless One
Breimbeith, The Victorious
Jioziot, Champion of Dragons
Missienntir, Eternal Fire
Biezodraet, The Bright
Seroath, Lord of the Red
Raevreidnaid, Champion of Dragons
Daithien, Lord of the Black
Birlayrrphynth, Champion of the Green
Choandriss, The White
Nyllis, The Warm
Goirvyrntorth, Redeemer of Men
eoseirrryt, Protector of the Weak
Ceigheonth, The Slow
Fykintdu, The Scary
Cayrsyr, Lord of the Black
Kakas, The Protective
Kiver, The Bunny Killer
Daivnaenth, Lord of the White
Riezeosdroal, The Loud
Cyndruntcres, Lord of the Green
Ceorrain, The Gentle
Viavuphssoith, The Life Giver
Bynnantsdyr, The Grumpy
Nuvian, Champion of the Blue
Pedyt, The Redeemer
Shapeintrraes, Protector of the Sky
Riaseintsseor, Lord of the Black
Hoirsoilcrot, Lord of Fire
Geiton, Lord of the Brown
Taiduntneg, The Mysterious
Shaeghanrrayss, The Youngling
yldroalth, The Great
Voadirth, The Firestarter
Milrontsdian, The Young One
Payndroid, Champion of Men
Qeigayrrunth, The Chosen
Chynnaith, The Chosen
Maivrylsdaess, Gentleheart
Hupiontphus, The Victorious
Vyghiosddud, The Tender
Jeildraidphoarth, The Clumsy One
Gaimairth, The Strong
Zarrulrried, Lord of the Green
Qayndrainryss, Longtail
agayrnteg, Giver of Life
Ziandit, The Dead
Fryndrarrssairth, The Fierce
Nozzeoth, Protector of Creatures
Peldrain, The Clever
Ciambiodsdoin, Champion of the Green
Reonit, The Clean
Luldriasdntid, Eater of Bunnies
Dugieddut, Lord of the Green
Cidrass, Champion of Men
Zienioth, The Strong
Friezzaet, Eater of All
Baite, The Brave
ivreocrrier, Champion of the White
Peorvaenth, The Stubborn
ydol, Protector of Creatures
Dipayt, Bringer of Death
Tuzzu, Champion of the Green
Qeiphin, The Evil One
Heliorphair, The Skinny One
Diedreo, Champion of Dragons
Qendial, Protector of the Weak
Haysaynth, Bringer of Death
Shayveirrpheinth, The Stubborn
Cheorvoantphaer, Eater of All
Vighayrrdaylth, The Victorious
ierlaynrias, The Chosen
Riarliess, The Creep
Qoithaycrdir, The Clumsy One
Biammilth, The Barbarian
Sirvoidntait, The Careful
Riemrut, The Creep
Daedeodlal, Protector of Life
Gyssuntdo, Protector of Life
Loavnadrios, Lord of the Red
Toatharth, The Careful
Dolzraissris, Champion of the Skies
iessym, The Tender
Vikerrnoag, The Dead
Chaysophntoid, The Voiceless
Tisientrram, Eater of All
Gragyssninth, The Careful
Chainayntphiem, The Voiceless
iesot, The Adorable
Qosser, The Dark
Broiteis, The Brave
Ledhacrsdad, The White One
yghet, Warmheart
Voizainreonth, The Quiet
Caizzoir, The Grumpy
Liasierrlyr, Warmheart
Chyghes, The Champion
Paimmaiphrrienth, The Calm
Raiselth, The Tiran
Zainneodssois, The Bunny Killer
Ciezzeorrdyss, The White One
Qemydrreit, The Gifted One
Saellesdntel, The Strong Minded
Vylroass, The Slow
Frevayrnteir, Giver of Life
aeneisdntoat, The Mysterious
Piethailphaeth, The Brave
Frannaidneth, Champion of the Skies
Pialdries, Champion of the Black
Curvailrrilth, Champion of the Skies
Josisdrrienth, The Dragonlord
Cheivnointh, The Dark
Fayzoicrrrienth, The Great
Roaghoad, Braveheart
Siandai, The Tall
Churleos, Protector of Life
Shodaiss, The Protective
Braighioth, The Careful
Tailientssies, Eater of All
Rodhontdig, The Voiceless One
Qallossrrys, The Clumsy One
Saezzeonth, The Eternal One
Chaimaet, Warmheart
Cylria, The Dark One
Graymbyrrrreom, Lord of Ice
Kaynys, The Powerful One
Nakeirth, Bringer of Death
Gieghoir, The Powerful
Sieloar, The Gentle
Taidoth, Champion of the Blue
Jolzraindiess, The Slow
Qykeig, The Strong
Ceirveiss, The Warm
Cheildroadnass, The Stubborn
Binnainrioss, The Victorious
Narge, Lord of the Red
Dosissntier, Braveheart
Zaesseonntat, The Skinny One
Fryrgeircrait, Eater of Bunnies
Tevier, The Hungry
Gryrsoir, The Adorable
Viervaylnam, Eater of All
Cypheophrrae, Destroyer of Life
Seirlae, The Eternal One
Qielreirth, The Gentle
Noliodphior, The Barbarian
Xaghiarrnianth, The Victorious
Freidraig, The White
Naisiodsdil, The Dragonlord
Corroacrlionth, Gentleheart
Renot, Lord of the Skies
Cunniorphielth, The Swift
Reopa, The Firestarter
Qaemrientssayss, The Magnificent
Kovnennter, The Great
Shormonliad, Lord of Fire
Xodhacrlirth, Lord of the Yellow
Xakayrrnain, The Creep
Chiothaycrnad, The Gentle
Riamu, Protector of the Sky
Freovnelth, The Life Giver
Xuvroas, The Black
Targaernulth, The Fast One
Cieghairrnienth, The Great
Nayre, The Fast One
Holdraynth, Lord of the Brown
Geirrug, Champion of the Brown
iamroth, The Firestarter
Sammyrrerth, The Clever
Riezeorrssur, The Brave
Tayghass, The Stubborn
Maindrolth, The Dragonlord
Qialzraentntug, The Mammoth
ersayddyr, The Strong Minded
Lezeis, The Warrior
Qergayss, Eater of Sheep
Breorol, The Fierce
Frigainth, The Kind
Freindryss, Protector of the Forest
Shyrrayrrnyg, Braveheart
Qioghays, The Magnificent
Taervien, Redeemer of Men
oathot, The Grumpy
Mayvroaphraeg, Lord of the Red
odrantntat, Protector of the Sky
Humays, The Jealous One
Qoillainth, The Calm
Chendoth, The Victorious
Doitheirth, Lord of Ice
